id,movie_name,directed_by,produced_by,starring,music_by,distributed_by,running_time,country,language,edited_by
315,Lilo & Stitch 2: Stitch Has a Glitch,Tony Leondis,Christopher Chase,"Chris Sanders, Dakota Fanning, Tia Carrere, Kevin McDonald, David Ogden Stiers, Jason Scott Lee",Joel McNeely,Walt Disney Home Entertainment,00:01:08,United States,English,William J. Caparella
167,The Little Mermaid (1989 film),"John Musker, Ron Clements",Howard Ashman,"René Auberjonois, Christopher Daniel Barnes, Jodi Benson, Pat Carroll, Paddi Edwards, Buddy Hackett, Kenneth Mars, Ben Wright, Samuel E. Wright",Alan Menken,Buena Vista Pictures Distribution,00:01:23,United States,English,Mark Hester
401,The Odd Life of Timothy Green,Peter Hedges,Scott Sanders,"Jennifer Garner, Joel Edgerton, Dianne Wiest, CJ Adams, Rosemarie DeWitt, Ron Livingston, David Morse, Common",Geoff Zanelli,Walt Disney StudiosMotion Pictures,00:01:40,United States,English,Andrew Mondshein
135,Hot Lead and Cold Feet,Robert Butler,Ron Miller,"Jim Dale, Karen Valentine, Don Knotts, Jack Elam, Darren McGavin","Buddy Baker, Joseph Dubin",Buena Vista Distribution,00:01:30,United States,English,Ray de Leuw
188,D2: The Mighty Ducks,Sam Weisman,"Jon Avnet, Jordan Kerner","Emilio Estevez, Michael Tucker, Jan Rubeš, Kathryn Erbe",J. A. C. Redford,Buena Vista Pictures Distribution,00:01:46,United States,English,John F. Link
284,Finding Nemo,Andrew Stanton,Graham Walters,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe, Geoffrey Rush, Bill Hunter",Thomas Newman,Buena Vista Pictures Distribution,00:01:40,United States,English,David Ian Salter
299,Around the World in 80 Days (2004 film),Frank Coraci,Hal Lieberman,"Jackie Chan, Steve Coogan, Cécile de France, Jim Broadbent, Karen Mok",Trevor Jones,"Buena Vista Pictures Distribution, Summit Entertainment, Buena Vista Pictures Distribution (United States)Summit Entertainment (Uncredited; International)",00:02:00,United States,English,Tom Lewis
389,African Cats,"Keith Scholey, Alastair Fothergill",Alix Tidmarsh  Keith Scholey,,Nicholas Hooper,Walt Disney Studios Motion Pictures,00:01:29,United StatesFranceUnited Kingdom,"English, French",
416,Bears (film),"Alastair Fothergill, Keith Scholey",,,George Fenton,Walt Disney Studios Motion Pictures,00:01:17,United States,English,
225,Flubber (film),Les Mayfield,"John HughesRicardo Mestres, John HughesRicardo Mestres","Robin Williams, Marcia Gay Harden, Christopher McDonald, Raymond J. Barry, Jodi Benson, Clancy Brown, Ted Levine",Danny Elfman,"Buena Vista Pictures Distribution, Buena Vista Pictures Distribution",00:01:33,United States,English,Harvey RosenstockMichael A. Stevenson
116,The Strongest Man in the World,Vincent McEveety,Bill Anderson,"Kurt Russell, Joe Flynn, Eve Arden, Cesar Romero, Phil Silvers",Robert F. Brunner,Buena Vista Distribution,00:01:32,United States,English,Cotton Warburton
419,Planes: Fire & Rescue,Bobs Gannaway,Ferrell Barron,"Dane Cook, Stacy Keach, Brad Garrett, Teri Hatcher, Julie Bowen, Ed Harris, Regina King, Wes Studi, Dale Dye",Mark Mancina,Walt Disney StudiosMotion Pictures,00:14:00,United States,English,Dan Molina
346,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,Bruce Hendricks,Art Repola,"Miley Cyrus, Jonas Brothers, Kenny Ortega, Billy Ray Cyrus","Matthew Gerrard, Robbie Nevil, Miley Cyrus, Tim James",Walt Disney StudiosMotion Pictures,00:01:14,United States,English,Michael Tronick
57,Big Red (film),Norman Tokar,Walt Disney,"Walter Pidgeon, Émile Genest","Richard M. Sherman, Robert B. Sherman, Oliver Wallace",Buena Vista Distribution,00:01:29,United StatesCanada,English,Grant K. Smith
130,Herbie Goes to Monte Carlo,Vincent McEveety,Ron Miller,"Dean Jones, Don Knotts, Julie Sommars",Frank De Vol,Buena Vista Distribution,00:01:44,United States,English,Cotton Warburton
27,The African Lion,James Algar,"Walt Disney, Ben Sharpsteen",,Paul J. Smith,Buena Vista Distribution,00:01:15,United States,English,Norman R. Palmer
29,The Great Locomotive Chase,Francis D. Lyon,Walt Disney,"Fess Parker, Jeffrey Hunter, John Lupton, Jeff York, Slim Pickens",Paul J. Smith,Buena Vista Distribution,00:01:25,United States,English,Ellsworth Hoagland
51,The Parent Trap (1961 film),David Swift,Walt Disney,"Hayley Mills, Maureen OHara, Brian Keith","Richard M. Sherman, Robert B. Sherman, Paul Smith",Buena Vista Distribution,00:02:08,United States,English,Philip W. Anderson
472,Elephant (2020 film),Mark Linfield,Roy Conli,,Ramin Djawadi,Disney+,00:01:26,United States,English,Nigel Buck
341,Underdog (2007 film),Frederik Du Chau,"Gary Barber, Roger Birnbaum, Jonathan Glickman","Jim Belushi, Peter Dinklage, John Slattery, Patrick Warburton, Brad Garrett, Amy Adams, Jason Lee",Randy Edelman,Buena Vista Pictures Distribution,00:01:22,United States,English,Tom Finan
466,Frozen II,"Chris Buck, Jennifer Lee",Peter Del Vecho,"Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff",Christophe Beck,Walt Disney StudiosMotion Pictures,00:01:43,United States,English,Jeff Draheim
431,The Good Dinosaur,Peter Sohn,Denise Ream,"Raymond Ochoa, Sam Elliott, Anna Paquin, A. J. Buckley, Steve Zahn, Jeffrey Wright, Frances McDormand","Mychael Danna, Jeff Danna",Walt Disney StudiosMotion Pictures,00:01:34,United States,English,Stephen Schaffer
248,An Extremely Goofy Movie,Douglas McCarthy,Lynne Southerland,"Jason Marsden, Bill Farmer, Rob Paulsen, Pauly Shore, Bebe Neuwirth, Jeff Bennett, Brad Garrett, Jim Cummings",Steve Bartek,Walt Disney Home Video,00:01:19,"United StatesSingaporeAustralia, United StatesSingaporeAustralia, United StatesSingaporeAustralia",English,
310,Ice Princess,Tim Fywell,Bridget Johnson,"Joan Cusack, Kim Cattrall, Michelle Trachtenberg, Hayden Panettiere",Christophe Beck,Buena Vista Pictures Distribution,00:01:37,United States,English,Janice Hampton
59,The Legend of Lobo,"James Algar, Jack Couffer",Walt Disney,,"Oliver Wallace, Richard M. Sherman, Robert B. Sherman, Sons of the Pioneers",Buena Vista Distribution,00:01:07,United States,English,Norman R. Palmer
91,Smith!,Michael O'Herlihy,Bill Anderson,Glenn Ford,Robert F. Brunner,Buena Vista Distribution,00:01:42,United States,English,Robert Stafford
503,Strange World (film),Don Hall,Roy Conli,"Jake Gyllenhaal, Dennis Quaid, Jaboukie Young-White, Gabrielle Union, Lucy Liu",Henry Jackman,Walt Disney StudiosMotion Pictures,00:01:42,United States,English,Sarah K. Reimers
114,The Castaway Cowboy,Vincent McEveety,"Ron Miller, Winston Hibler","James Garner, Vera Miles, Eric Shea, Robert Culp",Robert F. Brunner,Buena Vista Distribution,00:01:31,United States,English,Cotton Warburton
207,Tom and Huck,Peter Hewitt,"Laurence Mark, John Baldecchi","Jonathan Taylor Thomas, Brad Renfro",Stephen Endelman,Buena Vista Pictures Distribution,00:01:32,United States,English,David Freeman
354,Roadside Romeo,Jugal Hansraj,Aditya Chopra,"Saif Ali Khan, Kareena Kapoor, Jaaved Jaaferi, Vrajesh Hirjee, Sanjai Mishra",Salim–Sulaiman,Walt Disney Studios Motion Pictures,00:01:33,IndiaUnited States,"Hindi, English",Arif Ahmed
43,Toby Tyler or 10 Weeks with a Circus (film),Charles Barton,Bill Walsh,"Kevin Corcoran, Henry Calvin, Gene Sheldon, Richard Eastham","Buddy Baker, Buddy Baker",Buena Vista Distribution,00:01:35,United States,English,
352,Morning Light (film),Mark Monroe,Morgan Sackett,,Ric MarkmannDan PinellaChris Wagner,Walt Disney StudiosMotion Pictures,00:01:40,United States,English,Paul Crowder
11,Fun and Fancy Free,"Jack Kinney, Hamilton Luske, William Morgan","Walt Disney, Ben Sharpsteen","Cliff Edwards, Edgar Bergen, Luana Patten, Walt Disney, Clarence Nash, Pinto Colvig, Billy Gilbert, Anita Gordon","Oliver Wallace, Paul Smith, Eliot Daniel, Charles Wolcott",RKO Radio Pictures,00:01:13,United States,English,Jack Bachom
14,The Adventures of Ichabod and Mr. Toad,"Ben Sharpsteen, Jack Kinney, Clyde Geronimi, James Algar",Walt Disney,"Bing Crosby, Basil Rathbone, Eric Blore, J. Pat OMalley, Claude Allister",Oliver Wallace,RKO Radio Pictures,00:01:08,United States,English,John O. Young
133,Return from Witch Mountain,John Hough,"Ron Miller, Jerome Courtland","Bette Davis, Christopher Lee, Kim Richards, Ike Eisenmann, Jack Soo, Anthony James",Lalo Schifrin,Buena Vista Distribution,00:01:34,United States,English,Bob Bring
522,Young Woman and the Sea,Joachim Rønning,Jerry Bruckheimer,"Daisy Ridley, Tilda Cobham-Hervey",Amelia Warner,Disney+,,United States,English,Úna Ní Dhonghaíle
34,Perri (film),"N. Paul Kenworthy, Ralph Wright",Winston Hibler,,"Paul J. Smith, George Bruns, Carl Brandt",Buena Vista Distribution,00:01:15,United States,English,Jack Atwood
50,The Absent-Minded Professor,Robert Stevenson,Walt Disney,"Fred MacMurray, Nancy Olson, Keenan Wynn, Tommy Kirk, Leon Ames, Elliott Reid, Edward Andrews, Wally Brown, Alan Carney, Forrest Lewis, James Westerfield, Ed Wynn",George Bruns,Buena Vista Distribution,00:01:37,United States,English,Cotton Warburton
53,Greyfriars Bobby (film),Don Chaffey,Walt Disney,"Donald Crisp, Laurence Naismith, Alex Mackenzie, Kay Walsh",Francis Chagrin,Buena Vista Distribution,00:01:31,United States,English,Peter Tanner
268,The Rookie (2002 film),John Lee Hancock,"Mark Ciardi, Mark Johnson","Dennis Quaid, Rachel Griffiths, Jay Hernandez, Brian Cox, Angus T. Jones",Carter Burwell,Buena Vista Pictures Distribution,00:02:08,United States,English,Eric L. Beason
293,Miracle (2004 film),Gavin O'Connor,"''Mark Ciardi'', ''Ross Greenburg'', ''Justis Greene'', Greg O''Connor","Kurt Russell, Patricia Clarkson, Noah Emmerich",Mark Isham,Buena Vista Pictures Distribution,00:02:16,United States,English,John Gilroy
411,Super Buddies (film),Robert Vince,Anna McRobertsRobert Vince,"John Ratzenberger, Jay Brazeau, Jason Earles, Jonathan Morgan Heit, Harley Graham, Jake Brennan",Brahm Wenger,Walt Disney Studios Home Entertainment,00:01:21,United States,English,Kelly Herron
68,The Missadventures of Merlin Jones,Robert Stevenson,"Walt Disney, Ron Miller","Tommy Kirk, Annette Funicello, Leon Ames, Stuart Erwin",Buddy Baker,Buena Vista Distribution,00:01:31,United States,English,Cotton Warburton
